"Cannot refund: missing Revolut order data.","Cannot refund: missing Revolut order data."
"Cannot void: missing Revolut order id.","Cannot void: missing Revolut order id."
"No billing address found for order.","No billing address found for order."
"No payment found for order.","No payment found for order."
"Order #%s","Order #%s"
"Refund for order #%s","Refund for order #%s"
"Revolut","Revolut"
"Revolut: Failed to create order. Response: %s","Revolut: Failed to create order. Response: %s"
"Revolut API error: %s","Revolut API error: %s"
"Revolut connection error: %s","Revolut connection error: %s"
"Revolut Order ID","Revolut Order ID"
"Revolut Pay","Revolut Pay"
"Unable to initialize payment. Please try again.","Unable to initialize payment. Please try again."
